,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date,ChangesRatio,TotalCount
0,002200,수출포장,8280.0,40.0,0.5,10879.0,92323220.0,8250.0,8560.0,8250.0,33120000000.0,0.01,4000000.0,137004.0,3.43,541.0,2002-10-14,,
1,003490,대한항공,11150.0,650.0,6.2,851145.0,9585213250.0,11000.0,11400.0,10950.0,794877211400.0,0.28,71289436.0,14282203.0,20.03,51.0,2002-10-14,,
2,002200,수출포장,8490.0,210.0,2.5,3520.0,29644200.0,8280.0,8540.0,8280.0,33960000000.0,0.01,4000000.0,137004.0,3.43,546.0,2002-10-15,,
3,003490,대한항공,11550.0,400.0,3.6,787815.0,8930355250.0,11300.0,11550.0,11100.0,823392985800.0,0.28,71289436.0,14244583.0,19.98,51.0,2002-10-15,,
4,002200,수출포장,8600.0,110.0,1.3,12620.0,108949200.0,8630.0,8750.0,8500.0,34400000000.0,0.01,4000000.0,137004.0,3.43,535.0,2002-10-16,,
5,003490,대한항공,11500.0,-50.0,-0.4,1167565.0,13887285500.0,12000.0,12200.0,11500.0,819828514000.0,0.27,71289436.0,14403384.0,20.2,50.0,2002-10-16,,
6,002200,수출포장,8310.0,-290.0,-3.4,58030.0,486642400.0,8600.0,8600.0,8310.0,33240000000.0,0.01,4000000.0,137004.0,3.43,555.0,2002-10-17,,
7,003490,대한항공,12750.0,1250.0,10.9,1992044.0,24431036500.0,11750.0,12800.0,11500.0,908940309000.0,0.3,71289436.0,14793734.0,20.75,47.0,2002-10-17,,
8,002200,수출포장,8370.0,60.0,0.7,101660.0,855805800.0,8360.0,8500.0,8360.0,33480000000.0,0.01,4000000.0,87004.0,2.18,563.0,2002-10-18,,
9,003490,대한항공,13150.0,400.0,3.1,1399079.0,18270669850.0,13100.0,13400.0,12800.0,937456083400.0,0.3,71289436.0,15032204.0,21.09,48.0,2002-10-18,,
10,002200,수출포장,8110.0,-260.0,-3.1,105640.0,879085400.0,8410.0,8480.0,8110.0,32440000000.0,0.01,4000000.0,54834.0,1.37,570.0,2002-10-21,,
11,003490,대한항공,12700.0,-450.0,-3.4,566380.0,7259386000.0,13000.0,13050.0,12650.0,905375837200.0,0.3,71289436.0,15153504.0,21.26,48.0,2002-10-21,,
12,002200,수출포장,7930.0,-180.0,-2.2,77770.0,625855300.0,8200.0,8200.0,7910.0,31720000000.0,0.01,4000000.0,43614.0,1.09,581.0,2002-10-22,,
13,003490,대한항공,12200.0,-500.0,-3.9,1237943.0,15815331600.0,13200.0,13550.0,12050.0,869731119200.0,0.29,71289436.0,15063704.0,21.13,50.0,2002-10-22,,
14,002200,수출포장,8030.0,100.0,1.3,30710.0,244924900.0,7860.0,8030.0,7860.0,32120000000.0,0.01,4000000.0,37004.0,0.93,578.0,2002-10-23,,
15,003490,대한항공,14000.0,1800.0,14.8,3165589.0,42062809000.0,12650.0,14000.0,12400.0,998052104000.0,0.32,71289436.0,15743944.0,22.08,44.0,2002-10-23,,
16,002200,수출포장,7960.0,-70.0,-0.9,27590.0,220918200.0,7930.0,8100.0,7930.0,31840000000.0,0.01,4000000.0,37004.0,0.93,583.0,2002-10-24,,
17,003490,대한항공,13850.0,-150.0,-1.1,1630888.0,22608598300.0,14200.0,14200.0,13400.0,987358688600.0,0.32,71289436.0,15841654.0,22.22,45.0,2002-10-24,,
18,002200,수출포장,7990.0,30.0,0.4,53680.0,428078500.0,7850.0,8060.0,7850.0,31960000000.0,0.01,4000000.0,37004.0,0.93,583.0,2002-10-25,,
19,003490,대한항공,13850.0,0.0,0.0,1420468.0,19909700800.0,13600.0,14400.0,13400.0,987358688600.0,0.32,71289436.0,16003484.0,22.45,45.0,2002-10-25,,
20,002200,수출포장,8060.0,70.0,0.9,62690.0,507453500.0,8050.0,8170.0,8000.0,32240000000.0,0.01,4000000.0,37004.0,0.93,585.0,2002-10-28,,
21,003490,대한항공,14400.0,550.0,4.0,1571512.0,22913746300.0,14400.0,14900.0,14100.0,1026567878400.0,0.32,71289436.0,16141881.0,22.64,43.0,2002-10-28,,
22,002200,수출포장,8060.0,0.0,0.0,107640.0,868191300.0,8070.0,8150.0,8030.0,32240000000.0,0.01,4000000.0,37004.0,0.93,586.0,2002-10-29,,
23,003490,대한항공,14550.0,150.0,1.0,1319099.0,19473424950.0,14350.0,15150.0,14300.0,1037261293800.0,0.33,71289436.0,16284641.0,22.84,42.0,2002-10-29,,
24,002200,수출포장,8000.0,-60.0,-0.7,56980.0,457141700.0,8080.0,8100.0,7920.0,32000000000.0,0.01,4000000.0,37004.0,0.93,579.0,2002-10-30,,
25,003490,대한항공,13900.0,-650.0,-4.5,952788.0,13392402700.0,14750.0,14800.0,13650.0,990923160400.0,0.32,71289436.0,16225691.0,22.76,45.0,2002-10-30,,
26,002200,수출포장,7980.0,-20.0,-0.2,17010.0,136216800.0,8060.0,8080.0,7910.0,31920000000.0,0.01,4000000.0,37004.0,0.93,588.0,2002-10-31,,
27,003490,대한항공,14200.0,300.0,2.2,1257338.0,17863636100.0,14050.0,14600.0,13800.0,1012309991200.0,0.33,71289436.0,16221439.0,22.75,44.0,2002-10-31,,
28,002200,수출포장,8030.0,50.0,0.6,19270.0,155718200.0,8010.0,8290.0,7950.0,32120000000.0,0.01,4000000.0,37004.0,0.93,581.0,2002-11-01,,
29,003490,대한항공,13650.0,-550.0,-3.9,1559291.0,21456067150.0,13950.0,14300.0,13300.0,973100801400.0,0.32,71289436.0,16312279.0,22.88,44.0,2002-11-01,,
